Country,"Recorded
consumption","Unrecorded
consumption",Total consumption,Beer,Wine,Spirits,Other,Total Male Drinkers,Total Female Drinkers,Total Drinkers
Madagascar ,0.78,0.55,1.33,0.34,0.11,0.32,0,4.9,3.2,4.5
Malawi ,1.24,0.5,1.74,0.14,0,0.22,0.74,15.4,13,15.5
Malaysia ,0.5,0.32,0.82,0.38,0.02,0.08,0,32.2,14.6,30.4
Mali ,0.54,0.5,1.04,0.07,0,0.01,0.46,62.1,1.8,36.9
Malta ,3.85,0.42,4.27,1.79,1.45,1.86,0.15,0,0,0
Mauritania ,0.01,0.1,0.11,0,0,0.01,0,12.9,2.6,9.2
Mauritius ,2.72,1,3.72,1.92,0.32,0.39,0,10.3,4.3,8
Mexico ,5.02,3.4,8.42,3.96,0.02,1.09,0.03,31.6,17.3,27.2
Micronesia (Federated States of) ,4.5,1,5.5,1.43,1.31,0.6,0,21.4,9.7,18.8
Mongolia ,1.24,2,3.24,0.39,0.11,0.67,0.21,8,2,5
Morocco ,0.46,1,1.46,0.23,0.17,0.06,0,20.2,14.2,23.9
Mozambique ,1.56,0.82,2.38,0.52,0.09,0.79,0.05,6.3,3.8,5.5
Myanmar ,0.11,0.46,0.57,0.1,0,0.01,0.01,7.4,4.4,7.2
Namibia ,5.87,3.75,9.62,4.35,0.48,1.3,0.35,36,25.2,31.6
Nauru ,2.33,2.5,4.83,2.24,0.08,0,0,13.6,5.1,10.7
Nepal ,0.2,2.21,2.41,0.07,0,0.13,0,15.1,1.8,10.5
Netherlands ,9.55,0.5,10.05,4.72,3.26,1.56,0,15.6,12.2,13.8
New Zealand ,9.12,0.5,9.62,4.09,3.04,1.37,0.81,17.3,7.2,12
Nicaragua ,3.77,1.6,5.37,1.13,0.03,2.55,0,21.4,16.4,20.5
Niger ,0.09,0.25,0.34,0.05,0.01,0.03,0,0,0,0
Nigeria ,9.78,2.5,12.28,0.54,0.01,0.02,9.17,36.9,23,32.1
Niue ,8.85,1,9.85,4.63,0.11,2.95,0,0,0,0
Norway ,6.21,1.6,7.81,2.98,2,1.28,0.11,12.5,5.3,8.7
Oman ,0.64,0.3,0.94,0.27,0,0.39,0,0,0,0
Pakistan ,0.01,0.05,0.06,0,0,0,0.01,30.4,16.1,30
Palau ,9.1,1,10.1,8.68,0.52,2.1,0,0,0,0
Panama ,5.85,1,6.85,3.71,0.22,1.91,0.01,0,0,0
Papua New Guinea ,1.49,2,3.49,0.57,0.02,0.9,0,0,0,0
Paraguay ,6.38,1.5,7.88,3.48,0.97,1.77,0.19,14.9,9.2,12.8
Peru ,2.9,4,6.9,2.16,0.32,0.61,0,13.4,5.6,10
Philippines ,4.38,2,6.38,1.29,0.02,2.91,0,19,10.9,17
Poland ,9.55,3.7,13.25,5.27,1.23,2.97,0,26.1,9.5,17.9
Portugal ,12.45,2.1,14.55,3.75,6.65,1.27,0.51,32.3,19.9,27.5
Puerto Rico ,5.47,0.28,5.75,3.68,0.34,1.35,0.05,0,0,0
Qatar ,0.85,0.4,1.25,0.04,0.11,0.73,0.01,0,0,0
Republic of Korea ,11.8,3,14.8,2.14,0.06,9.57,0.04,28.9,7.7,19.9
Republic of Moldova ,8.22,10,18.22,4.57,4.67,4.42,0,32,13.6,23.4
Romania ,11.3,4,15.3,4.07,2.33,4.14,0,31.8,15,24.5
Russian Federation ,11.03,4.73,15.76,3.65,0.1,6.88,0.34,35.4,16.3,26.7
Rwanda ,6.8,3,9.8,0.54,0,0.01,6.44,0,0,0
Saint Kitts and Nevis ,8.93,0.5,9.43,3.98,0.18,6,0.1,0,0,0
Saint Lucia ,11.35,0.5,11.85,3.49,0.71,8.21,0.31,0,0,0
Saint Vincent and the Grenadines ,4.94,0.5,5.44,2.55,0.12,3.16,0.05,0,0,0
Samoa ,3.8,1,4.8,3.31,0.08,0.24,0,19.5,7.2,18
Sao Tome and Principe ,5.82,2.92,8.74,1.12,3.4,0.83,0,12.5,6.7,10.1
Saudi Arabia ,0.05,0.2,0.25,0,0,0.05,0,0,0,0
Senegal ,0.3,0.3,0.6,0.15,0.12,0.01,0,33.5,15.3,30
Serbia ,9.97,1.12,11.09,4.4,2.21,3.42,0.04,0,0,0
Seychelles ,9.59,1,10.59,7.15,3.15,1.59,0,17.3,8.1,12.1
Sierra Leone ,6.72,3,9.72,0.46,0.01,0.02,6.06,31.7,16.7,24.9
Singapore ,0.55,1,1.55,1.45,0.25,0.4,0,3.7,2.5,3.1
Slovakia ,10.33,3,13.33,3.9,1.7,5.4,0,28.2,8.1,17.3
Slovenia ,12.19,3,15.19,4.1,5.1,1.33,0,24.2,11.4,17.9
Solomon Islands ,1.16,0.5,1.66,0.66,0.03,0.4,0,5.5,1.4,4.6
Somalia ,0,0.5,0.5,0,0,0,0,0,0,0
South Africa ,6.96,2.5,9.46,3.93,1.17,1.15,0.75,39.6,23.8,34.9
Spain ,10.22,1.4,11.62,4.52,3.59,1.31,0.61,24.8,15.6,21.1
Sri Lanka ,0.35,0.44,0.79,0.02,0,0.33,0,9.3,6.9,9
Sudan ,1.56,1,2.56,0,0,0.27,1.08,0,0,0
Suriname ,5.19,0.9,6.09,2,0.13,3.26,0.05,0,0,0
Swaziland ,5.7,0,5.7,1.64,0.21,0.15,3.05,33.9,4.7,21
Sweden ,6.7,3.6,10.3,2.6,2.9,1.1,0,16.7,7.8,12.5
Switzerland ,10.56,0.5,11.06,3.1,5.1,1.8,0.1,17.7,8.4,13.4
Syrian Arab Republic ,1.13,0.3,1.43,0.04,0.32,0.69,0,34.4,11.5,32.5
Tajikistan ,0.39,3,3.39,0.08,0.02,0.29,0,0,0,0
Thailand ,6.37,0.71,7.08,1.75,0.02,4.69,0,29.1,6.2,23.9
The former Yugoslav Republic of Macedonia ,5.61,2.9,8.51,2.11,1.62,2.08,0,0,0,0
Timor-Leste ,0.36,0.5,0.86,0.3,0.01,0,0,0,0,0
Togo ,0.99,1,1.99,0.43,0.32,0.06,0.22,0,0,0
Tonga ,3.28,0.5,3.78,0.89,2.29,0.64,0.18,37.8,13.7,31.8
Trinidad and Tobago ,5.78,0.5,6.28,3.1,0.11,2.78,0.04,0,0,0
Tunisia ,1.09,0.2,1.29,0.67,0.34,0.04,0,20.8,17.2,20.7
Turkey ,1.37,1.5,2.87,0.78,0.07,0.46,0,31.2,19.4,29.4
Turkmenistan ,2.33,2.3,4.63,0.21,0.9,1.22,0,0,0,0
Tuvalu ,1.94,0.5,2.44,0.71,0.02,0.58,0,0,0,0
Uganda ,10.93,1,11.93,0.51,0,0.18,14.52,37.6,16.6,28.2
Ukraine ,8.1,7.5,15.6,2.69,0.58,5.21,0.02,37.4,17.1,27.9
United Arab Emirates ,0.34,0.2,0.54,0.3,0.01,0,0.02,7.7,3.1,7.2
United Kingdom ,11.67,1.7,13.37,4.93,3.53,2.41,0.67,21.6,9.5,15.6
United Republic of Tanzania ,4.75,2,6.75,0.57,0.02,0.15,4.51,43.1,21.5,31.8
United States ,8.44,1,9.44,4.47,1.36,2.65,0,20,8.5,14.4
Uruguay ,6.14,2,8.14,1.33,3.95,1.21,0.06,21.5,12.7,17.9
Uzbekistan ,1.64,1.9,3.54,0.28,0.19,1.3,0,0,0,0
Vanuatu ,0.43,0.5,0.93,0.46,0.19,0.19,0,4.6,1.7,4.7
Venezuela (Bolivarian Republic of) ,6.83,1.4,8.23,5.19,0.07,1.65,0,0,0,0
Viet Nam ,1.07,2.7,3.77,1.13,0.01,0.02,0,16.1,11.6,15.6
Yemen ,0,0.2,0.2,0,0,0,0,0,0,0
Zambia ,2.35,1.5,3.85,0.42,0.01,0.27,1.62,24.9,21.4,23.9
Zimbabwe ,4.08,1,5.08,0.96,0.19,0.06,2.61,36.7,23.5,35.3
